67	0.912	0.511	9	-6.365	1	0.203	0.0259	0	0.0442	0.611	101.628	231800	4	21.9168	10	1
67	0.677	0.525	7	-9.404	0	0.0483	0.224	0	0.172	0.924	87.042	198880	4	41.63482	9	1
28	0.543	0.342	1	-8.162	1	0.0304	0.555	0	0.115	0.244	137.292	216667	4	58.8351	10	1
71	0.55	0.587	2	-6.279	1	0.0329	0.354	0	0.128	0.466	165.975	284760	4	42.62033	13	1
71	0.468	0.535	10	-8.264	1	0.0436	0.44	0	0.101	0.294	168.001	243493	4	34.07411	13	1
71	0.375	0.556	11	-7.201	1	0.0411	0.398	0	0.0956	0.398	111.824	271160	4	25.3909	11	1
68	0.513	0.15	5	-11.889	1	0.029	0.992	0.369	0.101	0.289	146.526	209682	4	59.83863	9	0
68	0.481	0.323	2	-14.384	1	0.0326	0.964	0.904	0.102	0.0837	117.963	208400	4	24.62005	10	0
58	0.664	0.265	4	-11.28	0	0.0646	0.0759	0.814	0.145	0.368	90.98	116120	4	53.44653	6	0
49	0.755	0.563	8	-5.3	1	0.0421	0.0263	0.45	0.11	0.758	82.991	140436	4	65.81011	3	0
49	0.727	0.538	0	-8.745	1	0.0714	0.299	0.892	0.107	0.191	170.111	141035	4	61.77979	6	0
49	0.882	0.638	6	-4.391	0	0.0479	0.609	0.793	0.0999	0.586	82.019	128885	4	58.53334	5	0
43	0.863	0.39	8	-9.988	1	0.2	0.573	0.0142	0.224	0.454	75.816	117578	4	54.67897	6	0
62	0.385	0.622	4	-13.139	1	0.0569	0.785	0.00475	0.126	0.162	133.525	367240	4	28.59587	15	0
83	0.901	0.509	8	-6.777	0	0.492	0.842	0	0.0531	0.544	129.924	207813	4	13.09141	14	1
83	0.681	0.608	7	-7.344	0	0.0504	0.00282	0	0.0869	0.177	81.969	214720	4	24.21294	11	1
83	0.554	0.899	8	-4.573	1	0.408	0.0521	0	0.0568	0.552	171.966	227893	4	56.87412	8	1
25	0.814	0.938	6	-5.557	0	0.0847	0.000703	0.415	0.801	0.576	125.008	334304	4	35.35136	10	1
49	0.941	0.727	0	-11.592	1	0.228	0.00472	0.000811	0.177	0.623	128.746	276467	4	28.43392	11	1
54	0.7	0.99	3	-7.559	0	0.0499	0.0873	0.00211	0.151	0.77	127.884	248197	4	31.12469	15	1
39	0.894	0.764	4	-10.028	0	0.0604	0.00154	0.0349	0.0323	0.796	127.038	290933	4	31.27524	15	1
90	0.904	0.575	1	-7.823	1	0.346	0.0493	0	0.256	0.359	141.039	177748	4	67.34368	8	1
90	0.89	0.607	9	-6.916	0	0.124	0.158	0.000228	0.118	0.224	134.022	233040	4	21.64902	13	1
28	0.604	0.493	5	-10.227	0	0.037	0.0509	2.32E-05	0.166	0.134	104.045	177030	4	65.80851	5	0
0	0.55	0.737	8	-4.305	1	0.0481	0.183	0	0.123	0.193	158.127	216008	4	41.45462	7	1
23	0.83	0.948	9	-3.973	0	0.0455	0.106	2.29E-06	0.105	0.931	111.993	197627	4	26.72179	8	1
60	0.795	0.88	4	-4.908	0	0.14	0.0517	0.0114	0.053	0.47	119.958	229640	4	37.35108	7	1
80	0.849	0.422	10	-13.95	0	0.122	0.157	1.19E-05	0.255	0.624	96.216	259000	4	23.22597	13	1
80	0.862	0.676	7	-6.336	1	0.0859	0.0378	0	0.251	0.281	111.111	268827	4	51.03363	11	1
